video_id,label,frames,label_id,shape,format
1,Doing other things,37,0,"(100, 176)",JPEG
3,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
6,Drumming Fingers,37,1,"(100, 176)",JPEG
11,Sliding Two Fingers Down,37,10,"(100, 176)",JPEG
14,Pushing Hand Away,37,5,"(100, 176)",JPEG
17,Shaking Hand,37,9,"(100, 176)",JPEG
20,Doing other things,37,0,"(100, 176)",JPEG
28,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
31,Stop Sign,37,14,"(100, 176)",JPEG
34,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
36,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
37,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
41,Shaking Hand,37,9,"(100, 176)",JPEG
42,Sliding Two Fingers Up,37,13,"(100, 132)",JPEG
46,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
50,No gesture,37,2,"(100, 176)",JPEG
51,Swiping Right,37,17,"(100, 176)",JPEG
55,Thumb Down,37,19,"(100, 176)",JPEG
56,Rolling Hand Forward,37,8,"(100, 176)",JPEG
58,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
59,Stop Sign,37,14,"(100, 176)",JPEG
62,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
66,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
69,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
70,No gesture,37,2,"(100, 176)",JPEG
72,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
74,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
75,Doing other things,37,0,"(100, 176)",JPEG
76,Doing other things,37,0,"(100, 176)",JPEG
79,Pushing Hand Away,37,5,"(100, 132)",JPEG
85,Sliding Two Fingers Down,37,10,"(100, 100)",JPEG
89,Sliding Two Fingers Up,37,13,"(100, 176)",JPEG
92,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
94,Pulling Hand In,37,3,"(100, 176)",JPEG
95,Swiping Right,37,17,"(100, 132)",JPEG
100,Swiping Right,37,17,"(100, 176)",JPEG
103,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
104,Pulling Hand In,37,3,"(100, 176)",JPEG
106,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
107,Swiping Left,37,16,"(100, 100)",JPEG
109,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
110,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
112,Doing other things,37,0,"(100, 176)",JPEG
118,Doing other things,37,0,"(100, 176)",JPEG
121,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
125,Doing other things,37,0,"(100, 176)",JPEG
133,Rolling Hand Backward,37,7,"(100, 176)",JPEG
137,Shaking Hand,37,9,"(100, 176)",JPEG
138,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
139,Pulling Two Fingers In,37,4,"(100, 176)",JPEG
141,Stop Sign,37,14,"(100, 176)",JPEG
145,Stop Sign,37,14,"(100, 176)",JPEG
149,Swiping Right,37,17,"(100, 132)",JPEG
150,Zooming Out With Full Hand,37,25,"(100, 176)",JPEG
151,Turning Hand Counterclockwise,37,22,"(100, 132)",JPEG
154,Zooming In With Two Fingers,37,24,"(100, 176)",JPEG
155,Rolling Hand Forward,37,8,"(100, 176)",JPEG
157,Swiping Up,37,18,"(100, 176)",JPEG
159,Stop Sign,37,14,"(100, 176)",JPEG
160,Thumb Down,37,19,"(100, 132)",JPEG
161,No gesture,37,2,"(100, 176)",JPEG
164,Turning Hand Counterclockwise,37,22,"(100, 176)",JPEG
167,Zooming In With Full Hand,37,23,"(100, 132)",JPEG
169,Swiping Left,37,16,"(100, 176)",JPEG
171,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
173,Stop Sign,37,14,"(100, 176)",JPEG
175,Turning Hand Clockwise,37,21,"(100, 176)",JPEG
176,Sliding Two Fingers Left,37,11,"(100, 176)",JPEG
179,Turning Hand Counterclockwise,37,22,"(100, 176)",JPEG
184,Sliding Two Fingers Down,37,10,"(100, 132)",JPEG
187,Doing other things,37,0,"(100, 176)",JPEG
188,Zooming Out With Two Fingers,37,26,"(100, 176)",JPEG
189,Pushing Two Fingers Away,37,6,"(100, 176)",JPEG
193,Thumb Down,37,19,"(100, 176)",JPEG
194,Zooming In With Full Hand,37,23,"(100, 176)",JPEG
196,Swiping Down,37,15,"(100, 176)",JPEG
