video_id,label
169,Swiping Left
327,Swiping Left
429,Swiping Left
477,Swiping Left
579,Swiping Left
602,Swiping Left
710,Swiping Left
715,Swiping Left
761,Swiping Left
854,Swiping Left
947,Swiping Left
966,Swiping Left
1003,Swiping Left
1022,Swiping Left
1037,Swiping Left
1054,Swiping Left
1065,Swiping Left
1238,Swiping Left
1461,Swiping Left
1542,Swiping Left
1724,Swiping Left
1743,Swiping Left
1773,Swiping Left
1828,Swiping Left
2022,Swiping Left
2029,Swiping Left
2106,Swiping Left
2200,Swiping Left
2349,Swiping Left
2381,Swiping Left
2460,Swiping Left
2490,Swiping Left
2507,Swiping Left
2540,Swiping Left
2632,Swiping Left
2660,Swiping Left
2751,Swiping Left
2769,Swiping Left
2803,Swiping Left
2964,Swiping Left
2991,Swiping Left
3121,Swiping Left
3133,Swiping Left
3150,Swiping Left
3179,Swiping Left
3196,Swiping Left
3247,Swiping Left
3313,Swiping Left
3340,Swiping Left
3415,Swiping Left
3515,Swiping Left
3916,Swiping Left
3919,Swiping Left
4001,Swiping Left
4047,Swiping Left
4103,Swiping Left
4110,Swiping Left
4173,Swiping Left
4177,Swiping Left
4235,Swiping Left
4323,Swiping Left
4419,Swiping Left
4673,Swiping Left
4773,Swiping Left
4823,Swiping Left
4899,Swiping Left
5055,Swiping Left
5181,Swiping Left
5210,Swiping Left
5241,Swiping Left
5246,Swiping Left
5299,Swiping Left
5419,Swiping Left
5508,Swiping Left
5563,Swiping Left
5599,Swiping Left
5654,Swiping Left
5735,Swiping Left
5807,Swiping Left
5830,Swiping Left
5831,Swiping Left
5980,Swiping Left
6082,Swiping Left
6100,Swiping Left
6226,Swiping Left
6233,Swiping Left
6319,Swiping Left
6332,Swiping Left
6346,Swiping Left
6369,Swiping Left
6385,Swiping Left
6517,Swiping Left
6543,Swiping Left
6639,Swiping Left
6644,Swiping Left
6664,Swiping Left
6685,Swiping Left
6782,Swiping Left
6799,Swiping Left
6939,Swiping Left
6990,Swiping Left
7054,Swiping Left
7212,Swiping Left
7303,Swiping Left
7312,Swiping Left
7349,Swiping Left
7411,Swiping Left
7491,Swiping Left
7495,Swiping Left
7536,Swiping Left
7541,Swiping Left
7545,Swiping Left
7553,Swiping Left
7646,Swiping Left
7725,Swiping Left
7836,Swiping Left
7881,Swiping Left
8036,Swiping Left
8060,Swiping Left
8206,Swiping Left
8219,Swiping Left
8283,Swiping Left
8355,Swiping Left
8624,Swiping Left
8634,Swiping Left
8717,Swiping Left
8777,Swiping Left
8902,Swiping Left
9509,Swiping Left
9522,Swiping Left
9562,Swiping Left
9593,Swiping Left
9611,Swiping Left
9805,Swiping Left
9904,Swiping Left
9948,Swiping Left
10003,Swiping Left
10115,Swiping Left
10136,Swiping Left
10143,Swiping Left
10179,Swiping Left
10264,Swiping Left
10302,Swiping Left
10378,Swiping Left
10428,Swiping Left
10539,Swiping Left
10595,Swiping Left
10723,Swiping Left
10746,Swiping Left
10758,Swiping Left
10760,Swiping Left
10807,Swiping Left
10826,Swiping Left
10830,Swiping Left
10860,Swiping Left
10947,Swiping Left
11002,Swiping Left
11015,Swiping Left
11165,Swiping Left
11243,Swiping Left
11281,Swiping Left
11422,Swiping Left
11459,Swiping Left
11566,Swiping Left
11605,Swiping Left
11820,Swiping Left
11835,Swiping Left
11859,Swiping Left
11872,Swiping Left
12058,Swiping Left
12240,Swiping Left
12264,Swiping Left
12371,Swiping Left
12390,Swiping Left
12532,Swiping Left
12536,Swiping Left
12677,Swiping Left
12735,Swiping Left
12831,Swiping Left
13010,Swiping Left
13095,Swiping Left
13201,Swiping Left
13294,Swiping Left
13465,Swiping Left
13569,Swiping Left
13736,Swiping Left
13849,Swiping Left
13854,Swiping Left
13865,Swiping Left
13958,Swiping Left
14003,Swiping Left
14318,Swiping Left
14664,Swiping Left
14750,Swiping Left
14757,Swiping Left
14781,Swiping Left
14938,Swiping Left
15298,Swiping Left
15308,Swiping Left
15343,Swiping Left
15393,Swiping Left
15429,Swiping Left
15447,Swiping Left
15457,Swiping Left
15611,Swiping Left
15644,Swiping Left
15678,Swiping Left
15981,Swiping Left
16099,Swiping Left
16267,Swiping Left
16328,Swiping Left
16400,Swiping Left
16445,Swiping Left
16474,Swiping Left
16485,Swiping Left
16629,Swiping Left
16672,Swiping Left
16925,Swiping Left
17000,Swiping Left
17024,Swiping Left
17114,Swiping Left
17253,Swiping Left
17450,Swiping Left
17629,Swiping Left
17800,Swiping Left
17801,Swiping Left
17837,Swiping Left
17906,Swiping Left
18009,Swiping Left
18012,Swiping Left
18203,Swiping Left
18519,Swiping Left
18716,Swiping Left
18794,Swiping Left
18844,Swiping Left
18849,Swiping Left
18912,Swiping Left
19005,Swiping Left
19216,Swiping Left
19217,Swiping Left
19340,Swiping Left
19414,Swiping Left
19501,Swiping Left
19584,Swiping Left
19601,Swiping Left
19611,Swiping Left
19661,Swiping Left
19686,Swiping Left
19860,Swiping Left
20029,Swiping Left
20200,Swiping Left
20302,Swiping Left
20363,Swiping Left
20469,Swiping Left
20519,Swiping Left
20635,Swiping Left
20704,Swiping Left
20725,Swiping Left
20742,Swiping Left
20794,Swiping Left
20841,Swiping Left
20863,Swiping Left
20909,Swiping Left
21116,Swiping Left
21297,Swiping Left
21310,Swiping Left
21313,Swiping Left
21346,Swiping Left
21376,Swiping Left
21551,Swiping Left
21556,Swiping Left
21566,Swiping Left
21642,Swiping Left
21663,Swiping Left
21691,Swiping Left
21931,Swiping Left
21979,Swiping Left
22022,Swiping Left
22035,Swiping Left
22044,Swiping Left
22179,Swiping Left
22204,Swiping Left
22205,Swiping Left
22319,Swiping Left
22358,Swiping Left
22657,Swiping Left
22689,Swiping Left
22717,Swiping Left
22947,Swiping Left
23070,Swiping Left
23120,Swiping Left
23122,Swiping Left
23254,Swiping Left
23266,Swiping Left
23405,Swiping Left
23465,Swiping Left
23511,Swiping Left
23671,Swiping Left
23689,Swiping Left
23758,Swiping Left
23924,Swiping Left
23940,Swiping Left
24156,Swiping Left
24308,Swiping Left
24386,Swiping Left
24651,Swiping Left
24678,Swiping Left
24774,Swiping Left
24944,Swiping Left
25001,Swiping Left
25047,Swiping Left
25169,Swiping Left
25224,Swiping Left
25247,Swiping Left
25336,Swiping Left
25371,Swiping Left
25431,Swiping Left
25576,Swiping Left
25695,Swiping Left
25792,Swiping Left
25903,Swiping Left
25926,Swiping Left
25934,Swiping Left
25945,Swiping Left
25986,Swiping Left
26050,Swiping Left
26193,Swiping Left
26328,Swiping Left
26342,Swiping Left
26372,Swiping Left
26459,Swiping Left
26515,Swiping Left
26611,Swiping Left
26615,Swiping Left
26691,Swiping Left
26700,Swiping Left
26868,Swiping Left
26931,Swiping Left
26990,Swiping Left
26998,Swiping Left
27243,Swiping Left
27383,Swiping Left
27433,Swiping Left
27595,Swiping Left
27618,Swiping Left
27773,Swiping Left
28041,Swiping Left
28115,Swiping Left
28118,Swiping Left
28158,Swiping Left
28209,Swiping Left
28220,Swiping Left
28415,Swiping Left
28460,Swiping Left
28493,Swiping Left
28504,Swiping Left
28513,Swiping Left
28535,Swiping Left
28539,Swiping Left
28647,Swiping Left
28654,Swiping Left
28736,Swiping Left
28835,Swiping Left
28850,Swiping Left
28894,Swiping Left
28940,Swiping Left
29239,Swiping Left
29243,Swiping Left
29256,Swiping Left
29480,Swiping Left
29729,Swiping Left
29757,Swiping Left
29762,Swiping Left
29780,Swiping Left
29798,Swiping Left
29805,Swiping Left
29993,Swiping Left
30008,Swiping Left
30039,Swiping Left
30061,Swiping Left
30134,Swiping Left
30264,Swiping Left
30302,Swiping Left
30328,Swiping Left
30470,Swiping Left
30497,Swiping Left
30512,Swiping Left
30535,Swiping Left
30708,Swiping Left
30892,Swiping Left
31005,Swiping Left
31041,Swiping Left
31188,Swiping Left
31311,Swiping Left
31638,Swiping Left
31647,Swiping Left
31669,Swiping Left
31718,Swiping Left
31967,Swiping Left
32042,Swiping Left
32068,Swiping Left
32098,Swiping Left
32110,Swiping Left
32206,Swiping Left
32211,Swiping Left
32466,Swiping Left
32516,Swiping Left
32553,Swiping Left
32654,Swiping Left
32684,Swiping Left
32703,Swiping Left
32761,Swiping Left
33016,Swiping Left
33021,Swiping Left
33168,Swiping Left
33268,Swiping Left
33351,Swiping Left
33436,Swiping Left
33443,Swiping Left
33648,Swiping Left
33919,Swiping Left
34000,Swiping Left
34032,Swiping Left
34091,Swiping Left
34107,Swiping Left
34110,Swiping Left
34150,Swiping Left
34215,Swiping Left
34297,Swiping Left
34367,Swiping Left
34616,Swiping Left
34672,Swiping Left
34785,Swiping Left
34807,Swiping Left
34904,Swiping Left
34908,Swiping Left
35173,Swiping Left
35239,Swiping Left
35296,Swiping Left
35460,Swiping Left
35588,Swiping Left
35589,Swiping Left
35856,Swiping Left
36010,Swiping Left
36062,Swiping Left
36064,Swiping Left
36116,Swiping Left
36166,Swiping Left
36246,Swiping Left
36728,Swiping Left
36729,Swiping Left
36774,Swiping Left
36829,Swiping Left
36919,Swiping Left
37038,Swiping Left
37104,Swiping Left
37118,Swiping Left
37249,Swiping Left
37529,Swiping Left
37740,Swiping Left
37762,Swiping Left
37765,Swiping Left
37776,Swiping Left
37778,Swiping Left
37797,Swiping Left
37915,Swiping Left
37975,Swiping Left
38070,Swiping Left
38454,Swiping Left
38523,Swiping Left
38524,Swiping Left
38587,Swiping Left
38601,Swiping Left
38774,Swiping Left
38946,Swiping Left
38971,Swiping Left
38996,Swiping Left
39056,Swiping Left
39083,Swiping Left
39379,Swiping Left
39435,Swiping Left
39648,Swiping Left
39828,Swiping Left
39896,Swiping Left
39914,Swiping Left
40069,Swiping Left
40152,Swiping Left
40225,Swiping Left
40312,Swiping Left
40388,Swiping Left
40419,Swiping Left
40455,Swiping Left
40739,Swiping Left
40917,Swiping Left
40936,Swiping Left
41015,Swiping Left
41066,Swiping Left
41161,Swiping Left
41241,Swiping Left
41376,Swiping Left
41395,Swiping Left
41902,Swiping Left
42063,Swiping Left
42090,Swiping Left
42097,Swiping Left
42103,Swiping Left
42249,Swiping Left
42378,Swiping Left
42518,Swiping Left
42598,Swiping Left
42670,Swiping Left
42878,Swiping Left
42891,Swiping Left
43336,Swiping Left
43490,Swiping Left
43492,Swiping Left
43609,Swiping Left
43757,Swiping Left
43855,Swiping Left
43856,Swiping Left
43976,Swiping Left
43992,Swiping Left
44023,Swiping Left
44095,Swiping Left
44291,Swiping Left
44570,Swiping Left
44573,Swiping Left
44993,Swiping Left
45185,Swiping Left
45194,Swiping Left
45236,Swiping Left
45490,Swiping Left
45533,Swiping Left
45616,Swiping Left
45736,Swiping Left
45810,Swiping Left
45967,Swiping Left
45998,Swiping Left
46021,Swiping Left
46150,Swiping Left
46198,Swiping Left
46199,Swiping Left
46250,Swiping Left
46311,Swiping Left
46371,Swiping Left
46446,Swiping Left
46449,Swiping Left
46458,Swiping Left
46483,Swiping Left
46591,Swiping Left
46678,Swiping Left
46762,Swiping Left
46801,Swiping Left
46809,Swiping Left
47015,Swiping Left
47375,Swiping Left
47494,Swiping Left
47576,Swiping Left
47578,Swiping Left
47591,Swiping Left
47614,Swiping Left
47641,Swiping Left
47710,Swiping Left
47781,Swiping Left
48073,Swiping Left
48194,Swiping Left
48212,Swiping Left
48254,Swiping Left
48413,Swiping Left
48441,Swiping Left
48449,Swiping Left
48489,Swiping Left
48499,Swiping Left
48565,Swiping Left
48629,Swiping Left
48636,Swiping Left
48666,Swiping Left
48720,Swiping Left
48735,Swiping Left
48808,Swiping Left
48841,Swiping Left
48908,Swiping Left
49029,Swiping Left
49080,Swiping Left
49115,Swiping Left
49424,Swiping Left
49709,Swiping Left
49736,Swiping Left
49746,Swiping Left
49888,Swiping Left
49893,Swiping Left
49961,Swiping Left
50066,Swiping Left
50273,Swiping Left
50349,Swiping Left
50503,Swiping Left
50735,Swiping Left
50935,Swiping Left
50988,Swiping Left
51064,Swiping Left
51169,Swiping Left
51217,Swiping Left
51277,Swiping Left
51521,Swiping Left
51631,Swiping Left
51650,Swiping Left
51712,Swiping Left
51774,Swiping Left
51882,Swiping Left
51894,Swiping Left
52250,Swiping Left
52275,Swiping Left
52421,Swiping Left
52429,Swiping Left
52642,Swiping Left
52761,Swiping Left
52783,Swiping Left
52797,Swiping Left
52806,Swiping Left
53020,Swiping Left
53222,Swiping Left
53352,Swiping Left
53398,Swiping Left
53422,Swiping Left
53446,Swiping Left
53544,Swiping Left
53579,Swiping Left
53583,Swiping Left
53815,Swiping Left
53913,Swiping Left
53920,Swiping Left
54030,Swiping Left
54046,Swiping Left
54442,Swiping Left
54470,Swiping Left
54517,Swiping Left
54588,Swiping Left
54610,Swiping Left
54632,Swiping Left
54693,Swiping Left
54694,Swiping Left
54729,Swiping Left
54765,Swiping Left
54835,Swiping Left
55060,Swiping Left
55089,Swiping Left
55239,Swiping Left
55276,Swiping Left
55322,Swiping Left
55510,Swiping Left
55566,Swiping Left
55590,Swiping Left
55642,Swiping Left
55648,Swiping Left
55749,Swiping Left
55772,Swiping Left
55917,Swiping Left
56004,Swiping Left
56130,Swiping Left
56313,Swiping Left
56318,Swiping Left
56380,Swiping Left
56443,Swiping Left
56462,Swiping Left
56792,Swiping Left
56799,Swiping Left
57046,Swiping Left
57118,Swiping Left
57240,Swiping Left
57260,Swiping Left
57265,Swiping Left
57293,Swiping Left
57316,Swiping Left
57480,Swiping Left
57586,Swiping Left
57639,Swiping Left
57989,Swiping Left
58108,Swiping Left
58110,Swiping Left
58152,Swiping Left
58249,Swiping Left
58251,Swiping Left
58682,Swiping Left
58696,Swiping Left
58830,Swiping Left
58956,Swiping Left
58996,Swiping Left
59031,Swiping Left
59221,Swiping Left
59310,Swiping Left
59364,Swiping Left
59378,Swiping Left
59390,Swiping Left
59576,Swiping Left
59619,Swiping Left
59733,Swiping Left
59752,Swiping Left
59796,Swiping Left
59922,Swiping Left
59960,Swiping Left
59975,Swiping Left
60150,Swiping Left
60322,Swiping Left
60597,Swiping Left
60640,Swiping Left
60692,Swiping Left
61035,Swiping Left
61176,Swiping Left
61210,Swiping Left
61257,Swiping Left
61362,Swiping Left
61391,Swiping Left
61538,Swiping Left
61664,Swiping Left
61891,Swiping Left
61925,Swiping Left
61947,Swiping Left
62091,Swiping Left
62117,Swiping Left
62138,Swiping Left
62245,Swiping Left
62246,Swiping Left
62302,Swiping Left
62308,Swiping Left
62489,Swiping Left
62539,Swiping Left
62662,Swiping Left
62818,Swiping Left
62821,Swiping Left
62842,Swiping Left
62899,Swiping Left
62927,Swiping Left
62965,Swiping Left
63052,Swiping Left
63161,Swiping Left
63276,Swiping Left
63339,Swiping Left
63456,Swiping Left
63772,Swiping Left
63868,Swiping Left
63924,Swiping Left
64022,Swiping Left
64071,Swiping Left
64073,Swiping Left
64095,Swiping Left
64209,Swiping Left
64257,Swiping Left
64371,Swiping Left
64585,Swiping Left
64611,Swiping Left
64666,Swiping Left
64671,Swiping Left
64795,Swiping Left
65085,Swiping Left
65095,Swiping Left
65104,Swiping Left
65121,Swiping Left
65148,Swiping Left
65193,Swiping Left
65198,Swiping Left
65234,Swiping Left
65258,Swiping Left
65299,Swiping Left
65304,Swiping Left
65482,Swiping Left
65602,Swiping Left
65638,Swiping Left
65780,Swiping Left
65920,Swiping Left
